X.step.,meanI,SdI,meanS,SdS,meanE,SdE,meanR,SdR
154,0.0162,0.005617029500382143,0.5452,0.028209131536451378,0.00888,0.004260114015912183,0.42972,0.026291955780723315
155,0.0162,0.005617029500382143,0.5452,0.028209131536451378,0.00888,0.004260114015912183,0.42972,0.026291955780723315
156,0.017,0.005543887974837787,0.5414,0.028160618035889498,0.0078000000000000005,0.004629100498862757,0.4338,0.026973153697856005
157,0.017,0.005543887974837787,0.5414,0.028160618035889498,0.0078000000000000005,0.004629100498862757,0.4338,0.026973153697856005
158,0.01684,0.005786543150504718,0.5378000000000001,0.029255384991833694,0.0074,0.004540071023448772,0.43796,0.02728680626087207
159,0.01684,0.005786543150504718,0.5378000000000001,0.029255384991833694,0.0074,0.004540071023448772,0.43796,0.02728680626087207
160,0.01676,0.006735710498408267,0.5342,0.029347321958271576,0.0072,0.0042185208743524,0.44184,0.02747567384180458
161,0.01676,0.006735710498408267,0.5342,0.029347321958271576,0.0072,0.0042185208743524,0.44184,0.02747567384180458
162,0.01628,0.006821454749388812,0.5302,0.029419554790676778,0.0076,0.004797958749641904,0.44592,0.027461171103347844
163,0.01628,0.006821454749388812,0.5302,0.029419554790676778,0.0076,0.004797958749641904,0.44592,0.027461171103347844
164,0.015,0.006580738746446297,0.5268,0.030398711036046605,0.0074,0.004065785563073631,0.4508,0.027988335762876466
165,0.015,0.006580738746446297,0.5268,0.030398711036046605,0.0074,0.004065785563073631,0.4508,0.027988335762876466
166,0.015,0.006210590034081188,0.52316,0.030615695587827677,0.00704,0.0037523326078587435,0.4548,0.02820913153645139
167,0.015,0.006210590034081188,0.52316,0.030615695587827677,0.00704,0.0037523326078587435,0.4548,0.02820913153645139
168,0.0146,0.006340668863192042,0.51896,0.03166467161635233,0.00784,0.0037436204238078174,0.4586,0.028160618035889505
169,0.0146,0.006340668863192042,0.51896,0.03166467161635233,0.00784,0.0037436204238078174,0.4586,0.028160618035889505
170,0.01464,0.0064452482100998965,0.51504,0.03243137810384082,0.00812,0.004452195055961332,0.4622,0.029255384991833694
171,0.01464,0.0064452482100998965,0.51504,0.03243137810384082,0.00812,0.004452195055961332,0.4622,0.029255384991833694
