"BehaviorSpace results (NetLogo 6.2.2)"
"../repro-seir-master/model/m2-seir.nlogo"
"experiment"
"04/14/2023 16:45:27:554 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","300","0","300"
"[run number]","pop-init","te-g","ti-g","infectionRadius-i","beta","tr-g","prop-infecte","[step]","propSuseptible","propExposed","propInfected","propRecovered"
"26","20000","3","7","1","0.5","365","0.1","10","0.99215","0.00455","0.0026","7.0E-4"
"15","20000","3","7","1","0.5","365","0.1","7","0.99715","0.0014","0.00125","2.0E-4"
"17","20000","3","7","1","0.5","365","0.1","7","0.9966","0.00225","0.00105","1.0E-4"
"15","20000","3","7","1","0.5","365","0.1","8","0.9955","0.00255","0.00165","3.0E-4"
"17","20000","3","7","1","0.5","365","0.1","8","0.99525","0.00265","0.0019","2.0E-4"
"23","20000","3","7","1","0.5","365","0.1","19","0.97155","0.0114","0.01155","0.0055"
"23","20000","3","7","1","0.5","365","0.1","20","0.9583","0.022","0.01295","0.00675"
"12","20000","3","7","1","0.5","365","0.1","9","0.99545","0.00215","0.00175","6.5E-4"
"12","20000","3","7","1","0.5","365","0.1","10","0.9934","0.00365","0.0021","8.5E-4"
"3","20000","3","7","1","0.5","365","0.1","9","0.9954","0.00225","0.00195","4.0E-4"
"3","20000","3","7","1","0.5","365","0.1","10","0.9929","0.0043","0.00225","5.5E-4"
"1","20000","3","7","1","0.5","365","0.1","9","0.9951","0.0024","0.0023","2.0E-4"
"1","20000","3","7","1","0.5","365","0.1","10","0.9927","0.0039","0.00275","6.5E-4"
"14","20000","3","7","1","0.5","365","0.1","7","0.99615","0.00265","0.0011","1.0E-4"
"14","20000","3","7","1","0.5","365","0.1","8","0.99435","0.0039","0.00155","2.0E-4"
